minutos,metodo
4.1664843051890585,A
4.887466345547341,A
0.7276078086630919,A
8.280541616809977,A
1.4131288296102738,A
3.316505268687592,A
6.005762834316085,A
2.509423826785537,A
2.884095562275322,A
3.1819847701463013,A
6.102908089092849,A
9.584416025629915,A
5.083078785996807,A
2.7641491097729665,A
6.078116641161578,A
3.807680600387066,A
4.961739006957697,A
7.350002439000582,A
3.504258101412275,A
5.01805050194665,A
3.243784213519316,A
4.687131659230753,A
5.513140904002591,A
3.0224419024607565,A
4.322356067941607,A
4.527631938294798,A
3.7246899750313975,A
2.6247754272294315,A
2.1575655453917464,A
4.6930096086461015,A
4.461886079567973,A
9.462733577773209,A
0.13046484695791172,A
5.225453009633298,A
5.740889073326469,A
7.719267725345192,A
6.003714413562626,A
3.3115725923402763,A
5.000019522943192,A
6.084705144298058,A
4.372983606013182,A
6.542023476138823,A
1.2638186908724731,A
8.462369331960936,A
7.935356021146825,A
4.328645322952305,A
6.222681559147435,A
5.095941183736377,A
3.3417294219704425,A
5.175420436816663,A
6.50073177310139,B
3.7378149649693,B
3.7486611538420127,B
4.351058474212038,B
5.366992660153142,B
7.056758460543737,B
3.230641389641275,B
5.516792485366864,B
4.932232012527364,B
0.7827752277530049,B
3.661367035694622,B
4.235342203126513,B
4.4208595206127885,B
5.152006866773961,B
0.41935390254256966,B
4.592511046283394,B
3.144648845343917,B
1.6211219465227642,B
5.5485928600206975,B
5.970559152130405,B
3.193499464415929,B
6.18491256314268,B
3.7369670364698275,B
4.63297801829229,B
2.3025221060078866,B
7.6689741127913535,B
-0.8188989127669766,B
4.317094754218684,B
5.890239210093982,B
0.43306690775477286,B
4.121061470575238,B
4.345562669294086,B
6.149406010873964,B
6.9964258411940685,B
3.692215461324121,B
1.7309626669282703,B
7.234470847854249,B
6.93577126611258,B
3.5759893036932393,B
5.201776988175492,B
5.263732468253394,B
5.632550882884912,B
4.908415957828224,B
7.31339248332274,B
1.0240809912308642,B
6.581647906781457,B
5.260943940430001,B
4.065729462510241,B
6.847062996989907,B
-0.1872063819999239,B
7.823042981481546,C
6.2721560952071895,C
3.233733452646035,C
6.366185109313382,C
4.891827122397369,C
10.670589736129099,C
9.17066544572965,C
6.38137974483022,C
4.061492317146645,C
4.333170810841985,C
4.849900743236428,C
4.379530987524406,C
3.6955078638589964,C
4.318055449061109,C
4.947641015498524,C
4.466232212534827,C
4.102820100127222,C
3.6422161509523616,C
10.600876471759321,C
2.553653504400229,C
3.457170538955867,C
6.364791401959213,C
4.852839859846952,C
6.347649415731762,C
7.098359990070031,C
8.02522732664964,C
7.003929698429761,C
3.512478033762818,C
7.718286562723296,C
1.970164543448489,C
5.271157405939759,C
4.5036516121564825,C
3.378401927339136,C
6.683333041455358,C
5.1334868524408375,C
7.539709458738475,C
2.535069044354658,C
7.1926237836841596,C
6.495880296733642,C
5.753008350613013,C
2.6623788977029315,C
4.996451763260352,C
2.4066507774711674,C
1.3346961285101013,C
12.059490802222799,C
7.441722640080546,C
9.085185704796569,C
4.64197336298031,C
6.892395959222862,C
6.894832544553859,C
